Fecha,Producto,Tipo de Venta,Precio Frecuente,Precio Minimo,Precio Maximo,Estado,Central de Abasto
31/12/2025,Huevo blanco,Mayoreo,30.0,,,YUC,Central de Abasto de Mérida
31/12/2025,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
31/12/2025,Huevo blanco,Menudeo,45.0,36.0,45.0,YUC,Central de Abasto de Mérida
08/01/2025,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
08/01/2025,Huevo blanco,Medio Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
08/01/2025,Huevo blanco,Menudeo,45.0,42.0,47.0,YUC,Central de Abasto de Mérida
15/01/2025,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
15/01/2025,Huevo blanco,Medio Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
15/01/2025,Huevo blanco,Menudeo,44.0,42.0,47.0,YUC,Central de Abasto de Mérida
22/01/2025,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
22/01/2025,Huevo blanco,Medio Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
22/01/2025,Huevo blanco,Menudeo,45.0,42.0,47.0,YUC,Central de Abasto de Mérida
29/01/2025,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
29/01/2025,Huevo blanco,Medio Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
29/01/2025,Huevo blanco,Menudeo,45.0,42.0,47.0,YUC,Central de Abasto de Mérida
07/01/2026,Huevo clasificado blanco,Caja 30 Docenas,23.0,,,JAL,Mercado de Abasto de Guadalajara
07/01/2026,Huevo clasificado blanco,Mayoreo,24.0,,,JAL,Mercado de Abasto de Guadalajara
14/01/2026,Huevo blanco,Mayoreo,22.0,,,JAL,Mercado de Abasto de Guadalajara
14/01/2026,Huevo blanco,Medio Mayoreo,22.5,,,JAL,Mercado de Abasto de Guadalajara
14/01/2026,Huevo blanco,Menudeo,23.0,,,JAL,Mercado de Abasto de Guadalajara
14/01/2026,Huevo clasificado blanco,Caja 30 Docenas,22.0,,,JAL,Mercado de Abasto de Guadalajara
14/01/2026,Huevo clasificado blanco,Empaque Docenero,23.0,,,JAL,Mercado de Abasto de Guadalajara
21/01/2026,Huevo blanco,Mayoreo,24.0,,,JAL,Mercado de Abasto de Guadalajara
21/01/2026,Huevo blanco,Medio Mayoreo,24.5,,,JAL,Mercado de Abasto de Guadalajara
21/01/2026,Huevo blanco,Menudeo,25.0,,,JAL,Mercado de Abasto de Guadalajara
28/01/2026,Huevo blanco,Mayoreo,26.5,,,JAL,Mercado de Abasto de Guadalajara
28/01/2026,Huevo blanco,Medio Mayoreo,27.0,,,JAL,Mercado de Abasto de Guadalajara
28/01/2026,Huevo blanco,Menudeo,27.5,,,JAL,Mercado de Abasto de Guadalajara
28/01/2026,Huevo clasificado blanco,Caja 30 Docenas,26.0,,,JAL,Mercado de Abasto de Guadalajara
28/01/2026,Huevo clasificado blanco,Empaque Docenero,27.0,,,JAL,Mercado de Abasto de Guadalajara
07/01/2026,Huevo blanco,Mayoreo,26.0,25.0,28.0,PUE,Central de Abasto de Puebla
07/01/2026,Huevo rojo,Mayoreo,36.0,34.0,38.0,PUE,Central de Abasto de Puebla
14/01/2026,Huevo blanco,Mayoreo,26.0,24.0,29.0,PUE,Central de Abasto de Puebla
14/01/2026,Huevo rojo,Mayoreo,44.0,42.0,46.0,PUE,Central de Abasto de Puebla
21/01/2026,Huevo blanco,Mayoreo,28.0,26.0,30.0,PUE,Central de Abasto de Puebla
21/01/2026,Huevo rojo,Mayoreo,44.0,42.0,45.0,PUE,Central de Abasto de Puebla
28/01/2026,Huevo blanco,Mayoreo,44.0,42.0,46.0,PUE,Central de Abasto de Puebla
28/01/2026,Huevo rojo,Mayoreo,29.0,27.0,31.0,PUE,Central de Abasto de Puebla
07/01/2026,Huevo blanco,Mayoreo,29.0,,,SLP,Centro de Abasto de San Luis Potosí
07/01/2026,Huevo blanco,Menudeo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
14/01/2026,Huevo blanco,Mayoreo,21.0,,,SLP,Centro de Abasto de San Luis Potosí
14/01/2026,Huevo blanco,Menudeo,22.0,,,SLP,Centro de Abasto de San Luis Potosí
21/01/2026,Huevo blanco,Mayoreo,24.0,,,SLP,Centro de Abasto de San Luis Potosí
21/01/2026,Huevo blanco,Menudeo,25.0,,,SLP,Centro de Abasto de San Luis Potosí
28/01/2026,Huevo blanco,Mayoreo,27.0,,,SLP,Centro de Abasto de San Luis Potosí
28/01/2026,Huevo blanco,Menudeo,28.0,,,SLP,Centro de Abasto de San Luis Potosí
07/01/2026,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
14/01/2026,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
21/01/2026,Huevo blanco,Mayoreo,31.11,29.33,31.11,SON,Central de Abasto de Cd. Obregón
28/01/2026,Huevo blanco,Mayoreo,31.11,29.33,31.11,SON,Central de Abasto de Cd. Obregón
07/01/2026,Huevo blanco,Mayoreo,33.33,33.33,35.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
07/01/2026,Huevo blanco,Medio Mayoreo,35.77,35.77,37.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
14/01/2026,Huevo blanco,Mayoreo,27.78,27.78,33.33,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
14/01/2026,Huevo blanco,Medio Mayoreo,33.33,33.33,35.56,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
21/01/2026,Huevo blanco,Mayoreo,27.78,27.78,33.33,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
21/01/2026,Huevo blanco,Medio Mayoreo,33.33,33.33,35.56,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
28/01/2026,Huevo blanco,Mayoreo,32.66,31.55,32.66,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
28/01/2026,Huevo blanco,Medio Mayoreo,34.66,33.0,34.66,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
14/01/2026,Huevo blanco,Mayoreo,30.0,,,YUC,Central de Abasto de Mérida
14/01/2026,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
14/01/2026,Huevo blanco,Menudeo,45.0,36.0,45.0,YUC,Central de Abasto de Mérida
21/01/2026,Huevo blanco,Mayoreo,28.0,,,YUC,Central de Abasto de Mérida
21/01/2026,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
21/01/2026,Huevo blanco,Menudeo,42.0,32.0,45.0,YUC,Central de Abasto de Mérida
28/01/2026,Huevo blanco,Mayoreo,30.0,,,YUC,Central de Abasto de Mérida
28/01/2026,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
28/01/2026,Huevo blanco,Menudeo,45.0,34.0,45.0,YUC,Central de Abasto de Mérida
