Estado,Leche (miles de litros),Unnamed: 2_level_0,Unnamed: 3_level_0,Carne en canal (toneladas),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Otros productos,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Año,Mes-Año
Unnamed: 0_level_1,Bovino,Caprino,Total,Bovino,Porcino,Ovino,Caprino,Ave,Guajolote,Total,Huevo para plato,Miel,Cera en greña,Lana sucia,Unnamed: 15_level_1,Unnamed: 16_level_1
Total nacional,1080564.23,13480.98,1094045.21,174391.12,148059.16,5440.71,3281.57,319264.52,1335.07,651772.16,260493.01,2095.0,38.162,8.611,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Región Lagunera,245988.13,4830.41,250818.54,9761.58,436.528,18.47,203.061,30336.03,,40755.67,10048.84,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Delegación Coahuila,2568.23,800.002,3368.24,1507.68,118.859,45.261,171.405,163.99,,2007.2,1233.43,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Delegación Durango,9616.96,,9616.96,2148.86,252.156,24.193,28.554,29.573,,2483.34,139.991,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Laguna-Coahuila,127211.63,2908.04,130119.67,2421.08,360.055,5.587,155.297,7913.36,,10855.38,3740.14,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Laguna-Durango,118776.5,1922.37,120698.87,7340.5,76.473,12.883,47.764,22422.68,,29900.3,6308.7,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Aguascalientes,38696.8,9.85,38706.65,2933.48,2273.25,69.916,14.314,29437.17,,34728.12,740.365,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Baja California,18594.91,40.227,18635.14,6694.26,98.876,25.671,17.594,99.483,,6935.89,2720.18,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Baja California Sur,3003.47,346.186,3349.65,545.165,98.455,19.85,41.492,43.051,,748.013,80.169,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Campeche,4065.56,2.23,4067.79,1894.6,1250.26,132.589,3.101,6486.51,56.702,9823.76,407.519,60.172,0.721,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Coahuila,119606.24,3838.22,123444.46,5252.07,499.534,51.328,322.288,8327.32,,14452.54,5536.76,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Colima,3226.93,1.428,3228.36,804.868,710.491,9.114,5.518,794.078,0.343,2324.41,354.203,115.41,2.993,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Chiapas,40915.92,,40915.92,9450.06,6440.86,165.498,,21742.06,87.945,37886.42,650.333,869.445,20.039,9.742,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Chihuahua,104642.31,645.176,105287.49,6993.73,693.142,135.188,55.842,278.199,0.256,8156.35,1100.32,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Ciudad de México,765.607,,765.607,42.13,137.15,16.935,,4.084,,200.299,5.768,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Durango,154183.35,2033.71,156217.06,12764.59,360.284,39.171,77.431,22426.88,,35668.36,6871.48,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Guanajuato,78199.5,3777.69,81977.19,4718.93,11074.49,211.152,127.336,10246.54,,26378.45,5976.3,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Guerrero,8106.1,,8106.1,3675.35,1914.44,120.276,297.939,948.801,84.597,7041.41,704.119,315.141,6.81,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Hidalgo,32292.64,5.326,32297.97,2597.05,1304.15,552.543,61.377,7699.23,68.807,12283.15,515.203,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
México,34418.75,,34418.75,3560.93,2115.36,793.276,38.233,9034.89,167.246,15709.93,1379.29,0.891,0.017,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Michoacán,32486.58,358.443,32845.03,9239.37,5219.96,157.158,222.769,6465.97,11.481,21316.7,1722.11,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Morelos,1828.17,,1828.17,697.416,670.77,62.267,60.768,6374.18,,7865.4,77.258,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Nayarit,3360.65,,3360.65,1728.81,618.245,21.986,11.293,3722.68,,6103.01,4902.81,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Nuevo León,1363.63,352.104,1715.74,6658.96,1602.98,139.18,142.107,9881.46,,18424.69,7910.19,0.802,0.022,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Oaxaca,12093.37,0.51,12093.88,5104.73,2159.68,202.564,244.669,1267.15,43.78,9022.57,573.461,566.044,13.202,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Querétaro,35783.35,252.874,36036.22,8055.94,2814.36,98.889,13.507,32664.39,5.487,43652.58,1698.42,,,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
Quintana Roo,546.572,1.054,547.626,429.854,262.976,38.372,1.986,1124.86,8.425,1866.47,40.9,49.0,1.276,,2026,Enero_2026Avance mensual de la producción pecuaria.xls.xlsx
